business_name,registration_id,status,filing_date,agent_name,agent_address,agent_email
Sunny Services LLC,SD0000052,Active,2005-02-24,Dave Miller,9669 Elm Ave,dave.miller.f655c915-caaa-436f-9927-f7d2ce1ec688@example.com
Sunny Market LLC,SD0000061,Active,2000-08-17,Ezra Taylor,1504 Hill Ave,ezra.taylor.eed58f55-8df0-4464-8959-f00a1a5cfe7b@example.com
Cedar Labs LLC,SD0000058,Active,2024-05-26,Alex Garcia,4362 Maple Ave,alex.garcia.edf4b099-49d2-47d5-9e8d-dafd9f445f9b@example.com
Metro Industries LLC,SD0000113,Active,2011-02-10,Dave Garcia,7177 Broadway Ave,dave.garcia.9a59196f-0a02-4c6e-a1ed-18d4c0437003@example.com
Sky Energy LLC,SD0000159,Dissolved,1998-01-27,Maria Wilson,8535 Hill Ave,maria.wilson.dfea6b11-61e3-4405-83b3-5a692b29d9a5@example.com
Sky Foods LLC,SD0000132,Active,2004-03-06,Jen Johnson,4115 Maple Ave,jen.johnson.bd1ff915-5fbc-4ffb-ba1b-f52ea06f3080@example.com
Quantum Farms LLC,SD0000163,Active,2016-09-05,Ezra Garcia,3658 Broadway Ave,ezra.garcia.a35b76c1-3d24-4deb-92b6-2e7662205614@example.com
Harmony Energy LLC,SD0000139,Active,2010-10-27,John Anderson,2204 Elm Ave,john.anderson.9b5a5baa-dbc3-421c-94af-42e286c0f0f4@example.com
Sunny Consulting LLC,SD0000154,Active,2018-08-21,Gian Miller,9312 Maple Ave,gian.miller.eff5807f-bcfb-4772-8aa9-fdda68f5b6d2@example.com
Silver Works LLC,SD0000110,Active,2023-10-05,Maria Garcia,7180 Broadway Ave,maria.garcia.0792fe8b-fd69-4495-8f48-c9ef74ca9960@example.com
Bright Foods LLC,SD0000162,Pending,2010-01-10,Ezra Wilson,6276 Hill Ave,ezra.wilson.4209e150-f874-43bc-ac8d-960a6d3a8370@example.com
Bright Solutions LLC,SD0000141,Active,1998-07-12,Maria Davis,9880 Hill Ave,maria.davis.b7934090-98c9-453b-b208-5d2072d73354@example.com
Rapid Services LLC,SD0000102,Active,2001-03-20,Dave Taylor,9246 Hill Ave,dave.taylor.39ebc44a-95ce-43f1-8f24-35611f6061e4@example.com
Pine Energy LLC,SD0000094,Active,1999-10-22,Sara Johnson,8701 Maple Ave,sara.johnson.e9717955-d2d0-407f-8a27-5957bfe3c180@example.com
Sky Foods LLC,SD0000142,Active,2017-06-26,Maria Garcia,5383 Elm Ave,maria.garcia.2de78f6f-233c-45bd-92fe-6e34f1de227d@example.com
Quantum Studio LLC,SD0000090,Active,2005-11-09,John Johnson,1408 Broadway Ave,john.johnson.0726e7ed-ee9c-4f85-bc09-6986a5c87cfd@example.com
Blue Logistics LLC,SD0000134,Dissolved,2019-10-09,Sara Taylor,8948 Elm Ave,sara.taylor.631b3127-32d0-4bb9-91ea-c69837b4e71e@example.com
Pine Ventures LLC,SD0000151,Active,1999-01-18,Dave Davis,4716 Elm Ave,dave.davis.0983bba6-44fc-4875-8c5b-cad22ce46eca@example.com
Prime Mart LLC,SD0000153,Active,2013-10-04,Dave Garcia,8271 Hill Ave,dave.garcia.d65614cf-bd4a-40e9-9077-d2bf8ba667e2@example.com
Metro Works LLC,SD0000104,Active,2009-01-02,John Anderson,7591 Broadway Ave,john.anderson.f0116151-8103-4e91-8683-b6322d6a32c2@example.com
Cedar Foods LLC,SD0000152,Active,2002-09-24,Maria Smith,6514 Hill Ave,maria.smith.266c80da-e947-44af-b5e8-3cfb5878f9b6@example.com
Golden Farms LLC,SD0000099,Active,2009-02-28,Ezra Anderson,4753 Broadway Ave,ezra.anderson.d6d4adb8-e68e-4d33-8628-633cae66032f@example.com
Crystal Market LLC,SD0000131,Active,2005-11-03,Maria Garcia,2124 Hill Ave,maria.garcia.27cc4e82-abac-47fb-9c76-f3bcf3368a78@example.com
Rapid Trading LLC,SD0000256,Active,2020-09-14,Ezra Anderson,8783 Hill Ave,ezra.anderson.5c3080a5-f424-4b66-88a3-b3da37378949@example.com
Pine Foods LLC,SD0000212,Active,2020-08-01,Dave Smith,7019 Maple Ave,dave.smith.fdd3ae0b-f349-481a-8b50-4fb1f15d1eab@example.com
Prime Mart LLC,SD0000254,Active,1998-05-26,Jen Johnson,8924 Hill Ave,jen.johnson.56a88e1b-f836-48d6-a502-27f0504ad669@example.com
Prime Services LLC,SD0000228,Dissolved,1997-08-28,John Taylor,140 Elm Ave,john.taylor.b9edf611-73ef-4f0a-af51-f57a859ab824@example.com
Quantum Group LLC,SD0000171,Inactive,2001-10-24,Gian Miller,261 Maple Ave,gian.miller.4f418e95-701a-4f12-b5ae-27680f3bb718@example.com
Harmony Market LLC,SD0000260,Dissolved,2013-02-26,Ezra Miller,6285 Hill Ave,ezra.miller.23b2f038-98f0-4eee-a75e-bb4dc06b064e@example.com
Pine Solutions LLC,SD0000251,Active,2000-07-06,Gian Taylor,517 Hill Ave,gian.taylor.6dcf76d2-189b-4369-81bd-8cda6360d1da@example.com
Prime Ventures LLC,SD0000244,Active,2002-10-08,Sara Wilson,3310 Maple Ave,sara.wilson.ac724714-adb3-4228-b343-af42873b6f9f@example.com
Prime Pharmacy LLC,SD0000182,Pending,2013-03-25,Maria Davis,9294 Hill Ave,maria.davis.0c0d0fea-fc4f-4392-94be-a129d7dd7663@example.com
Metro Ventures LLC,SD0000197,Active,2017-08-11,John Smith,5630 Broadway Ave,john.smith.dd9aefb3-afa6-490c-afe2-f4b6a935714d@example.com
Pine Studio LLC,SD0000195,Active,2003-04-17,Ezra Taylor,9653 Maple Ave,ezra.taylor.a8188c02-0d44-40e5-b17e-ef6e683a91e3@example.com
Crystal Ventures LLC,SD0000231,Pending,1999-12-09,Ezra Wilson,7521 Broadway Ave,ezra.wilson.ac11f8d8-f12c-4779-9197-406f02218984@example.com
Nova Trading LLC,SD0000165,Inactive,2008-10-25,John Johnson,9741 Broadway Ave,john.johnson.e8424b08-4df0-4449-9cc4-9ddb953f66ed@example.com
Sunny Market LLC,SD0000225,Active,2011-06-02,Gian Garcia,4189 Broadway Ave,gian.garcia.343f5af2-3082-4a30-b594-7c2b875e498f@example.com
Sunny Energy LLC,SD0000262,Active,2020-05-10,Alex Garcia,4933 Hill Ave,alex.garcia.06855003-c017-48fd-a6ff-6b9aa6f48552@example.com
Ocean Group LLC,SD0000166,Active,1996-07-15,Sara Garcia,8265 Elm Ave,sara.garcia.0950316d-0984-4c1d-9e5a-9b292349fcb8@example.com
Ocean Logistics LLC,SD0000210,Active,2018-05-23,Gian Smith,1536 Hill Ave,gian.smith.e1ff764a-9a05-4b46-9cc1-d1ad120a0a6d@example.com
Silver Energy LLC,SD0000281,Active,2015-05-25,John Smith,800 Broadway Ave,john.smith.466d7aff-123f-4eb5-858e-e8fbb38d75a2@example.com
Golden Pharmacy LLC,SD0000238,Active,2009-01-06,Sara Anderson,7000 Maple Ave,sara.anderson.ac260aad-7981-4d9d-a192-4fe827ababe1@example.com
Rapid Services LLC,SD0000177,Active,1995-04-17,Dave Taylor,267 Broadway Ave,dave.taylor.f0832a63-16e4-4f10-a0e8-813b9a175921@example.com
Bright Tech LLC,SD0000309,Active,2009-04-21,Ezra Johnson,6332 Elm Ave,ezra.johnson.3234c9d9-8393-4d4b-9a15-886ba1120ea1@example.com
Bright Works LLC,SD0000333,Active,2016-03-20,Gian Smith,8690 Hill Ave,gian.smith.d5872d4b-d751-4df1-8ce4-9e88a69b8a46@example.com
Crystal Energy LLC,SD0000336,Active,2015-10-09,Gian Miller,6521 Maple Ave,gian.miller.01b6d1f5-3e2d-4e2b-9295-6f003f4db596@example.com
Ocean Holdings LLC,SD0000338,Active,2007-06-26,Sara Johnson,2391 Hill Ave,sara.johnson.c0599e5d-7255-4fd3-8805-d4eb2e09a2e9@example.com
Quantum Builders LLC,SD0000291,Active,2024-03-17,John Taylor,5263 Maple Ave,john.taylor.145edb54-89aa-4735-90af-4db218e12e53@example.com
River Industries LLC,SD0000363,Active,2010-08-10,Alex Smith,8991 Elm Ave,alex.smith.a6fc482c-0bd7-4ed5-8439-d6e34a6f8742@example.com
Blue Holdings LLC,SD0000341,Pending,2019-07-12,Sara Johnson,1487 Elm Ave,sara.johnson.06e722e9-2c83-4487-b603-46b8d4fe6258@example.com
Cedar Mart LLC,SD0000314,Active,2024-08-13,Maria Davis,2244 Hill Ave,maria.davis.6a24a78d-f0ea-48bf-9199-1f596216ce60@example.com
Pine Solutions LLC,SD0000292,Active,2012-11-13,Dave Taylor,9398 Hill Ave,dave.taylor.bc76c4e8-b79c-4346-9cea-4f988fa38804@example.com
Bright Services LLC,SD0000362,Active,2006-07-09,Sara Garcia,5644 Elm Ave,sara.garcia.82b391fe-b32e-4a9c-aedb-3abe5a522d66@example.com
River Tech LLC,SD0000298,Active,2008-10-16,Maria Johnson,6357 Elm Ave,maria.johnson.f434365e-6dce-41f5-9738-7e00e345995c@example.com
Pine Tech LLC,SD0000350,Active,2007-10-04,Maria Miller,3895 Elm Ave,maria.miller.47dc800c-9f75-4d78-a406-8e748f94f064@example.com
Blue Tech LLC,SD0000285,Dissolved,2021-10-22,John Johnson,4202 Maple Ave,john.johnson.a879b7ce-e4d5-47e3-a4b9-3e2374cf74c5@example.com
Summit Studio LLC,SD0000339,Active,2002-06-03,Jen Smith,2881 Hill Ave,jen.smith.5940955b-bc57-4ce4-8780-788e64d4f62d@example.com
Crystal Labs LLC,SD0000290,Active,2015-06-01,Ezra Davis,7905 Elm Ave,ezra.davis.422ac5da-f7bf-4393-bc12-0b9cf6603b9d@example.com
Bright Industries LLC,SD0000316,Active,2018-12-24,Maria Garcia,3024 Maple Ave,maria.garcia.73ab2d25-1638-449a-87b3-2216f41ab84e@example.com
Silver Holdings LLC,SD0000311,Active,2001-11-21,Alex Anderson,1191 Maple Ave,alex.anderson.486f370f-b041-4358-98d2-a3e5d0f9dbc2@example.com
Bright Mart LLC,SD0000310,Dissolved,2021-06-17,Jen Davis,5258 Broadway Ave,jen.davis.ee7e4267-8c15-4f3c-b4a3-0e0d6ea4b43a@example.com
River Industries LLC,SD0000359,Active,2007-09-25,Maria Johnson,6397 Elm Ave,maria.johnson.8f782d33-a888-426b-ac0a-2fc3fbf24726@example.com
Sky Trading LLC,SD0000343,Active,2005-02-26,Dave Anderson,9236 Hill Ave,dave.anderson.b696c6ff-dcf9-4032-bcac-591b572fd23b@example.com
Golden Mart LLC,SD0000380,Dissolved,2025-09-04,Alex Davis,8631 Maple Ave,alex.davis.a916f2fd-440f-4558-b76c-87463e912a04@example.com
Blue Group LLC,SD0000453,Active,2014-11-27,John Johnson,9917 Maple Ave,john.johnson.0b774d7d-3954-4a53-8a94-9c020135aafd@example.com
Ocean Farms LLC,SD0000425,Active,2024-01-22,Sara Johnson,8539 Elm Ave,sara.johnson.98901323-4cbb-4771-9e4b-8fb473fccf0d@example.com
Pine Market LLC,SD0000391,Active,2008-07-12,Gian Smith,5004 Maple Ave,gian.smith.11532424-293d-4fbf-930d-44961ecadc27@example.com
Bright Tech LLC,SD0000397,Active,2011-05-11,Sara Wilson,5775 Elm Ave,sara.wilson.0e9eb412-3baf-407c-b77a-8191f90af657@example.com
Harmony Consulting LLC,SD0000386,Active,2020-08-06,Jen Smith,9451 Hill Ave,jen.smith.9967729d-777c-4bec-9513-ef01c915bdf7@example.com
Quantum Foods LLC,SD0000429,Active,2000-12-20,Gian Davis,8750 Broadway Ave,gian.davis.f543a1a6-046f-4b0b-806c-8fcda495cd18@example.com
Blue Logistics LLC,SD0000452,Active,2011-02-22,Jen Miller,3173 Broadway Ave,jen.miller.8dbef417-b21f-4fc7-ab95-1dcec4f9035f@example.com
River Ventures LLC,SD0000420,Active,2010-03-21,Dave Anderson,927 Elm Ave,dave.anderson.bded7a95-0d65-4542-bb11-f32265d6924b@example.com
Prime Industries LLC,SD0000460,Pending,2016-04-10,Dave Johnson,7185 Maple Ave,dave.johnson.18634491-ed4a-48d0-83bb-eab0b8bab7ce@example.com
Harmony Pharmacy LLC,SD0000421,Active,2016-06-26,Jen Smith,5566 Hill Ave,jen.smith.c541bca3-05fc-4105-abbc-40d49d23c324@example.com
Harmony Works LLC,SD0000416,Active,2017-10-26,Jen Wilson,2135 Hill Ave,jen.wilson.5d3f9b80-fc23-4a38-bf48-f1ac94678333@example.com
Green Energy LLC,SD0000438,Active,2012-06-04,Ezra Anderson,5222 Hill Ave,ezra.anderson.87aae8fd-eb27-428c-a6ed-c986d42b7799@example.com
Rapid Consulting LLC,SD0000402,Active,1995-10-20,Alex Davis,437 Elm Ave,alex.davis.b8956205-08c0-48ac-ba10-afbbb706d432@example.com
Crystal Industries LLC,SD0000415,Active,1999-02-23,Alex Davis,963 Broadway Ave,alex.davis.633278f6-0763-493f-8fe0-4b052f819105@example.com
Nova Services LLC,SD0000404,Active,1995-05-14,John Garcia,7207 Hill Ave,john.garcia.0a3637bd-7e1e-437c-9b50-581ebf8668c9@example.com
Sunny Holdings LLC,SD0000455,Active,1996-07-13,Jen Garcia,7228 Broadway Ave,jen.garcia.e751c3f4-7ba2-4c26-b0fa-c328e71a5179@example.com
Rapid Builders LLC,SD0000440,Active,1995-03-24,John Garcia,6823 Hill Ave,john.garcia.86b299b7-5e05-442a-b23d-a158f60b9cf7@example.com
Green Energy LLC,SD0000413,Active,1996-11-19,Sara Johnson,6841 Maple Ave,sara.johnson.d62bc410-55eb-450d-a19a-a53daeaf122c@example.com
Pine Logistics LLC,SD0000401,Active,2021-03-24,Ezra Miller,7268 Elm Ave,ezra.miller.101159b4-e9b6-40d3-af46-39eb7d0eb04c@example.com
Golden Mart LLC,SD0000508,Active,2020-02-20,Maria Wilson,489 Broadway Ave,maria.wilson.b88fcae6-31a3-4fc2-a2dc-63d9a018941d@example.com
Bright Mart LLC,SD0000491,Dissolved,2007-08-25,Maria Smith,8958 Elm Ave,maria.smith.ffb3b445-ced0-4b02-9d2c-45376a4fe833@example.com
Rapid Market LLC,SD0000497,Active,2004-08-28,John Smith,6718 Elm Ave,john.smith.6c618dda-78b5-4bce-bee2-4053adcc6d5c@example.com
Golden Mart LLC,SD0000523,Active,1995-09-11,Ezra Miller,344 Hill Ave,ezra.miller.336e5e8e-7986-41b1-ae54-d3f5476584f1@example.com
Green Ventures LLC,SD0000532,Active,2023-02-11,Gian Johnson,6512 Maple Ave,gian.johnson.c5471922-2e8c-4127-9400-7bc8a1c8c3a3@example.com
Quantum Labs LLC,SD0000514,Active,2007-07-23,Gian Davis,5558 Maple Ave,gian.davis.7211b5cf-3878-4e38-8606-f0b135e161bc@example.com
River Services LLC,SD0000500,Active,2003-08-03,Ezra Miller,7809 Broadway Ave,ezra.miller.a895fddd-7121-4824-875c-efce81956749@example.com
Blue Ventures LLC,SD0000467,Active,2000-02-23,Maria Davis,2354 Elm Ave,maria.davis.38c06f7d-9fd2-4577-b478-aef5b541fc42@example.com
Pine Market LLC,SD0000540,Active,2002-09-23,Gian Taylor,7847 Maple Ave,gian.taylor.fa6c81fb-7556-4769-8ad9-73bc0027f48a@example.com
Metro Works LLC,SD0000501,Inactive,2000-10-02,Maria Wilson,2685 Broadway Ave,maria.wilson.a70a3472-f636-4f9f-94ec-2dceb8735aa5@example.com
Pine Farms LLC,SD0000522,Active,2006-07-12,Alex Miller,9718 Broadway Ave,alex.miller.0b636de7-c39d-430e-96af-7ae31b9911f9@example.com
Sunny Builders LLC,SD0000475,Inactive,2009-07-06,Maria Garcia,9481 Maple Ave,maria.garcia.70210e21-643d-40ba-9d4f-a4db6491fb60@example.com
Metro Mart LLC,SD0000536,Active,2023-10-02,Ezra Miller,5955 Broadway Ave,ezra.miller.08ce3857-f2ae-4953-8bb1-4b2183e20ed8@example.com
Quantum Pharmacy LLC,SD0000465,Pending,2013-09-05,Maria Wilson,1045 Broadway Ave,maria.wilson.1a7bea73-bfbf-4045-9389-3c44b89e4814@example.com
Apex Trading LLC,SD0000533,Active,2021-10-25,Alex Johnson,5144 Elm Ave,alex.johnson.cefc6e6d-b010-4962-bb92-e0b2f68ebc50@example.com
Pine Studio LLC,SD0000538,Active,1997-08-16,John Garcia,4285 Broadway Ave,john.garcia.0d39fe50-01a6-43ee-9a10-79b6e154a6ab@example.com
Pine Group LLC,SD0000495,Dissolved,2006-07-05,Gian Smith,4673 Elm Ave,gian.smith.1e19815c-5a79-4eb7-b192-1fb07c5059ff@example.com
Rapid Industries LLC,SD0000493,Active,2007-10-27,John Wilson,911 Maple Ave,john.wilson.59909481-d6ea-4e05-9445-c1fa53923d06@example.com
Rapid Ventures LLC,SD0000463,Active,2024-10-02,Maria Smith,5045 Broadway Ave,maria.smith.17ef1cce-7fbe-45ea-b697-4290795b3c7c@example.com
Summit Farms LLC,SD0000515,Active,2008-12-16,Ezra Wilson,7805 Hill Ave,ezra.wilson.21498b2c-8f07-4ace-a992-aec0bfff7cc2@example.com
Cedar Farms LLC,SD0000595,Active,2008-06-09,Alex Davis,9791 Maple Ave,alex.davis.cadb509e-241e-4bee-bd0f-8a6cb88a7eaf@example.com
River Energy LLC,SD0000608,Inactive,2002-01-09,Gian Smith,6430 Maple Ave,gian.smith.b47b56b0-6e4e-4473-ba33-87e7b865ad91@example.com
Crystal Studio LLC,SD0000558,Active,2005-08-22,John Miller,7681 Hill Ave,john.miller.398d511f-9e1d-45d8-a451-842e7b0cb5ed@example.com
Green Works LLC,SD0000560,Active,2008-02-15,John Smith,1876 Hill Ave,john.smith.f0a9221a-792d-4465-b470-3d74da06e45a@example.com
Bright Market LLC,SD0000600,Active,2007-12-04,Ezra Davis,8280 Elm Ave,ezra.davis.153d7a1b-ab9f-496f-8cad-408384d72426@example.com
Prime Consulting LLC,SD0000621,Active,2003-02-01,Gian Davis,5008 Hill Ave,gian.davis.a446dea7-a112-4d96-90b3-4e098697b12f@example.com
Silver Foods LLC,SD0000582,Active,2013-12-01,Alex Wilson,4912 Elm Ave,alex.wilson.6fa878b4-812d-4d20-b114-7bef00c02293@example.com
Metro Holdings LLC,SD0000543,Active,2011-07-25,Alex Davis,3131 Elm Ave,alex.davis.b4951619-c057-4aa6-abe7-eb454066ac78@example.com
Apex Ventures LLC,SD0000553,Inactive,1995-05-22,John Wilson,2529 Broadway Ave,john.wilson.b6732807-4a12-4d41-994e-ca18e466ccb0@example.com
Ocean Industries LLC,SD0000633,Active,2013-03-10,Gian Davis,6877 Hill Ave,gian.davis.b411eece-1cdf-4077-86ba-c1a23f824abe@example.com
Quantum Pharmacy LLC,SD0000612,Inactive,1996-08-02,John Smith,9172 Broadway Ave,john.smith.38dddfc0-229f-41e9-a36d-6f965728d5a4@example.com
Silver Ventures LLC,SD0000551,Active,2017-09-16,Maria Johnson,5737 Broadway Ave,maria.johnson.3966f079-5660-421c-9a89-5b19b94a0fd7@example.com
Nova Holdings LLC,SD0000562,Active,2014-05-28,Sara Anderson,1921 Broadway Ave,sara.anderson.2b3d47a4-3104-4116-97dd-f64e574f8450@example.com
Nova Consulting LLC,SD0000617,Active,2016-08-23,Gian Miller,6869 Elm Ave,gian.miller.b4c5456d-b772-43d2-8919-f3c4274179c2@example.com
Bright Labs LLC,SD0000607,Dissolved,2015-11-21,Ezra Miller,2004 Hill Ave,ezra.miller.7fa4940c-9b57-4375-8c99-c078b9bc8b88@example.com
Rapid Works LLC,SD0000573,Active,2024-08-26,John Smith,8321 Broadway Ave,john.smith.03fe09c7-4154-4719-9649-4771945a1bd5@example.com
Metro Solutions LLC,SD0000627,Active,1997-05-15,Dave Wilson,6991 Hill Ave,dave.wilson.738b6759-db59-451a-bb63-d6f7c11d9253@example.com
Prime Tech LLC,SD0000599,Dissolved,2010-05-20,Alex Miller,755 Maple Ave,alex.miller.de378593-a532-4634-a280-f65f208dcbe8@example.com
Pine Logistics LLC,SD0000609,Pending,2002-12-14,Maria Wilson,5102 Broadway Ave,maria.wilson.e8d720f1-3a6b-47a2-8100-0dfc2fd135cb@example.com
Golden Logistics LLC,SD0000584,Active,1999-08-07,Ezra Anderson,4330 Hill Ave,ezra.anderson.23c8a2c3-1fd5-44cd-af81-795637b632bb@example.com
Cedar Ventures LLC,SD0000714,Active,2002-10-05,John Miller,4062 Hill Ave,john.miller.12fb5546-69b8-407a-b41c-f714040d836f@example.com
Ocean Tech LLC,SD0000643,Active,2016-12-15,Alex Anderson,628 Broadway Ave,alex.anderson.0561a87c-2ba4-45a7-8c2d-c161868291f0@example.com
Blue Trading LLC,SD0000689,Active,2010-11-22,Jen Johnson,9723 Maple Ave,jen.johnson.a6c37f87-6f1c-485b-8c9c-f33774a40e8c@example.com
Golden Works LLC,SD0000691,Active,2001-11-04,Sara Taylor,5159 Broadway Ave,sara.taylor.033877d3-f381-430b-a0b7-b95239c9c4a7@example.com
Metro Trading LLC,SD0000708,Active,2018-03-13,Ezra Taylor,3246 Broadway Ave,ezra.taylor.64f8bfc6-1abe-4d4e-bd8f-747e61a55978@example.com
River Ventures LLC,SD0000704,Active,2014-04-27,Alex Smith,9961 Hill Ave,alex.smith.6632be8f-d786-4d50-8d1f-6dde3d31f69f@example.com
Cedar Works LLC,SD0000682,Active,2022-12-19,Jen Anderson,973 Elm Ave,jen.anderson.f6e56850-a928-4e48-b327-52393719349b@example.com
Metro Works LLC,SD0000637,Active,2022-07-13,Ezra Taylor,1136 Hill Ave,ezra.taylor.f4430a49-1266-424d-8b78-8c5867b7ef1e@example.com
Crystal Farms LLC,SD0000697,Pending,2002-02-09,Ezra Johnson,5406 Broadway Ave,ezra.johnson.aa310550-8644-493c-83b0-265610416c79@example.com
Summit Ventures LLC,SD0000651,Active,2020-10-06,Ezra Garcia,5450 Maple Ave,ezra.garcia.381d2e8b-83be-4b06-9c34-688844c66af9@example.com
Nova Ventures LLC,SD0000715,Active,2011-10-06,Alex Johnson,2177 Hill Ave,alex.johnson.92fa0e13-b8a3-45f1-9d59-a1c9f69fee1f@example.com
Nova Mart LLC,SD0000707,Dissolved,2023-10-28,Sara Taylor,5392 Elm Ave,sara.taylor.3b8ae265-30fa-4718-8191-5de384813d72@example.com
River Studio LLC,SD0000642,Pending,1997-02-17,Maria Miller,3407 Broadway Ave,maria.miller.76c998c1-ea88-4b79-a675-c291403164f1@example.com
Quantum Market LLC,SD0000665,Active,2001-07-06,Ezra Miller,6753 Broadway Ave,ezra.miller.6d541e3c-0f13-45a1-93ed-46a526ea1064@example.com
Green Solutions LLC,SD0000670,Active,2020-01-04,Ezra Miller,7971 Hill Ave,ezra.miller.4abfc8ca-5ee0-4a2f-bed3-f81e77110e1f@example.com
Green Group LLC,SD0000647,Active,2007-04-08,John Smith,6918 Broadway Ave,john.smith.a975077b-fbe2-4722-b534-d44df75c6918@example.com
Nova Labs LLC,SD0000721,Active,2012-10-11,Maria Smith,2104 Maple Ave,maria.smith.a341a6f8-7162-4f64-acc1-ded11bc9a26a@example.com
Pine Ventures LLC,SD0000652,Active,2014-10-15,Sara Davis,357 Broadway Ave,sara.davis.38eab498-58e3-4933-bd8f-e10d26bdb8de@example.com
Rapid Works LLC,SD0000675,Active,2020-02-10,John Taylor,8868 Maple Ave,john.taylor.4fb2cd0c-0380-42d6-b20d-b60050b3e674@example.com
Quantum Pharmacy LLC,SD0000650,Active,2009-04-03,John Davis,6745 Elm Ave,john.davis.5ac9db31-97a0-4a5f-ac00-1407c6a2eb8a@example.com
Rapid Labs LLC,SD0000752,Inactive,1997-12-08,Gian Taylor,2159 Elm Ave,gian.taylor.97d02e40-84e9-4009-be3f-817d5fa28a21@example.com
Harmony Ventures LLC,SD0000750,Active,1997-05-01,Alex Wilson,6410 Elm Ave,alex.wilson.b75f94b2-9f36-411e-bd39-f4923dee8508@example.com
Bright Solutions LLC,SD0000734,Active,1996-02-18,Maria Smith,3685 Broadway Ave,maria.smith.3adb37ad-42d4-4007-b88f-e4dae7e9413a@example.com
Ocean Market LLC,SD0000765,Active,2018-04-14,Alex Wilson,3446 Maple Ave,alex.wilson.4e37a3c1-febd-4988-aee3-417c28c47210@example.com
Rapid Mart LLC,SD0000754,Active,2009-06-06,Jen Wilson,5799 Broadway Ave,jen.wilson.33b07e96-2f0c-4608-86db-ece29d4a5a3a@example.com
Cedar Energy LLC,SD0000736,Active,1998-06-03,Maria Anderson,8701 Elm Ave,maria.anderson.2b08ed15-91be-402d-978c-0738a9d9464e@example.com
Cedar Group LLC,SD0000768,Pending,2020-02-03,Dave Johnson,7286 Broadway Ave,dave.johnson.6ce8d79e-2c5b-4fb6-9ff7-7d04420ebf97@example.com
Blue Studio LLC,SD0000774,Active,2013-03-01,Sara Garcia,7443 Elm Ave,sara.garcia.e1dc1a8e-162d-42d7-bb6b-7966d3b64427@example.com
Sunny Studio LLC,SD0000787,Active,2000-10-11,Jen Smith,9443 Broadway Ave,jen.smith.46395395-858b-42e3-beea-bc681f9e22d5@example.com
Golden Builders LLC,SD0000731,Active,2009-11-13,Sara Johnson,6201 Hill Ave,sara.johnson.89c09115-c342-4da6-9595-d84e603a780e@example.com
